,Good_Wine,type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
0,True,white,5.3,0.36,0.27,6.3,0.027999999999999997,40.0,132.0,0.9918600000000001,3.37,0.4,11.6
1,False,white,6.2,0.28,0.33,1.7,0.028999999999999998,24.0,111.0,0.99,3.24,0.5,12.1
2,False,white,7.8,0.28,0.31,2.1,0.046,28.0,208.0,0.99434,3.23,0.64,9.8
3,False,white,6.4,0.35,0.21,2.1,0.051,46.0,171.0,0.9932,3.16,0.5,9.5
4,False,white,8.3,0.3,0.36,10.0,0.042,33.0,169.0,0.9982,3.23,0.51,9.3
5,False,white,6.6,0.46,0.49,7.4,0.052000000000000005,19.0,184.0,0.9956,3.11,0.38,9.0
6,False,red,10.3,0.59,0.42,2.8,0.09,35.0,73.0,0.9990000000000001,3.28,0.7,9.5
7,False,red,6.2,0.63,0.31,1.7,0.08800000000000001,15.0,64.0,0.9969,3.46,0.79,9.3
8,False,white,7.0,0.21,0.28,8.7,0.045,37.0,222.0,0.9954,3.25,0.54,10.4
9,False,white,6.9,0.33,0.21,1.0,0.053,39.0,148.0,0.9927,3.12,0.45,9.4
10,False,red,8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4
11,False,red,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8
12,False,red,13.2,0.46,0.52,2.2,0.071,12.0,35.0,1.0006,3.1,0.56,9.0
13,False,white,6.7,0.2,0.41,9.1,0.044000000000000004,50.0,166.0,0.9954,3.14,0.58,9.8
14,False,red,6.9,0.36,0.25,2.4,0.098,5.0,16.0,0.9964,3.41,0.6,10.1
15,False,white,6.6,0.27,0.29,5.3,0.045,57.0,189.0,0.9953,3.31,0.79,9.8
16,False,white,7.1,0.23,0.39,1.6,0.032,12.0,65.0,0.9898,3.25,0.4,12.7
17,False,white,6.3,0.23,0.5,10.4,0.043,61.0,132.0,0.9954200000000001,2.86,0.46,9.1
18,False,white,6.2,0.2,0.49,1.6,0.065,17.0,143.0,0.9937,3.22,0.52,9.2
19,False,white,7.8,0.25,0.37,1.0,0.043,10.0,80.0,0.9912799999999999,3.08,0.38,11.4
20,False,white,6.6,0.37,0.47,6.5,0.061,23.0,150.0,0.9954,3.14,0.45,9.6
21,False,white,7.5,0.35,0.48,12.4,0.055999999999999994,61.0,176.5,0.99803,2.97,0.52,8.8
22,False,white,5.8,0.28,0.28,4.2,0.044000000000000004,52.0,158.0,0.992,3.35,0.44,10.7
23,False,red,6.6,0.58,0.0,2.2,0.1,50.0,63.0,0.99544,3.59,0.68,11.4
24,False,white,5.6,0.295,0.2,2.2,0.049,18.0,134.0,0.9937799999999999,3.21,0.68,10.0
25,False,white,7.0,0.3,0.51,13.6,0.05,40.0,168.0,0.9976,3.07,0.52,9.6
26,False,white,7.2,0.31,0.26,7.3,0.05,37.0,157.0,0.99625,3.09,0.43,9.0
27,False,white,6.4,0.32,0.31,1.9,0.037000000000000005,34.0,126.0,0.99,3.06,0.45,11.8
28,False,white,6.3,0.2,0.18,10.6,0.045,57.0,159.0,0.99666,3.09,0.54,9.2
29,False,red,9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8
30,False,white,6.5,0.3,0.39,7.8,0.038,61.0,219.0,0.9959,3.19,0.5,9.4
31,False,white,7.3,0.31,0.69,10.2,0.040999999999999995,58.0,160.0,0.9977,3.06,0.45,8.6
32,False,red,7.0,0.58,0.12,1.9,0.091,34.0,124.0,0.9956,3.44,0.48,10.5
33,False,white,6.8,0.25,0.29,2.0,0.042,19.0,189.0,0.9952,3.46,0.54,10.2
34,False,white,7.2,0.2,0.61,16.2,0.043,14.0,103.0,0.9987,3.06,0.36,9.2
35,False,white,6.6,0.34,0.34,2.6,0.051,40.5,210.0,0.9931399999999999,3.15,0.61,10.0
36,False,red,5.9,0.46,0.0,1.9,0.077,25.0,44.0,0.99385,3.5,0.53,11.2
37,False,white,7.1,0.26,0.3,2.0,0.031,13.0,128.0,0.9917,3.19,0.49,11.4
38,False,white,8.1,0.28,0.34,1.3,0.035,11.0,126.0,0.9923200000000001,3.14,0.5,9.8
